start_s,end_s,scientific,confidence_py,confidence_an,_merge,conf_abs_diff
3.0,6.0,Myadestes occidentalis,0.330011,0.33,both,1.0999999999983245e-05
4.0,7.0,Myadestes occidentalis,0.362924,0.3629,both,2.4000000000024002e-05
8.0,11.0,Myadestes occidentalis,0.167974,0.168,both,2.5999999999998247e-05
26.0,29.0,Campylorhamphus falcularius,0.22604,0.226,both,3.999999999998449e-05
27.0,30.0,Campylorhamphus falcularius,0.248417,0.2484,both,1.6999999999989246e-05
28.0,31.0,Chamaea fasciata,0.131701,0.1317,both,1.000000000001e-06
30.0,33.0,Palmeria dolei,0.155937,0.1559,both,3.699999999998149e-05
31.0,34.0,Palmeria dolei,0.271174,0.2712,both,2.599999999997049e-05
32.0,35.0,Palmeria dolei,0.194155,0.1942,both,4.500000000001725e-05
37.0,40.0,Rhopornis ardesiacus,0.165964,0.166,both,3.600000000000825e-05
38.0,41.0,Palmeria dolei,0.176655,0.1767,both,4.499999999998949e-05
38.0,41.0,Pseudonestor xanthophrys,0.4841,0.4841,both,0.0
39.0,42.0,Palmeria dolei,0.274072,0.2741,both,2.8000000000028002e-05
39.0,42.0,Pseudonestor xanthophrys,0.52886,0.5289,both,4.0000000000040004e-05
40.0,43.0,Palmeria dolei,0.103223,0.1032,both,2.2999999999995246e-05
40.0,43.0,Pseudonestor xanthophrys,0.234647,0.2346,both,4.699999999999149e-05
41.0,44.0,Vireo gilvus,0.106692,0.1067,both,8.000000000008e-06
50.0,53.0,Sitta europaea,0.170601,0.1706,both,1.000000000001e-06
61.0,64.0,Turdus cardis,0.108834,0.1088,both,3.400000000000625e-05
62.0,65.0,Turdus cardis,0.166571,0.1666,both,2.9000000000001247e-05
63.0,66.0,Phoenicurus phoenicurus,0.17969,0.1797,both,1.0000000000010001e-05
72.0,75.0,Myadestes occidentalis,0.119544,0.1195,both,4.400000000000237e-05
85.0,88.0,Palmeria dolei,0.161892,0.1619,both,7.999999999980245e-06
95.0,98.0,Palmeria dolei,0.155735,0.1557,both,3.500000000000725e-05
96.0,99.0,Palmeria dolei,0.132627,0.1326,both,2.6999999999999247e-05
97.0,100.0,Palmeria dolei,0.164798,0.1648,both,2.000000000002e-06
98.0,101.0,Palmeria dolei,0.188342,0.1883,both,4.200000000001425e-05
98.0,101.0,Pseudonestor xanthophrys,0.114184,0.1142,both,1.6000000000002124e-05
101.0,104.0,Rhopornis ardesiacus,0.106609,0.1066,both,8.999999999995123e-06
102.0,105.0,Brachyramphus marmoratus,0.76564,0.7656,both,4.0000000000040004e-05
102.0,105.0,Buteo jamaicensis,0.16142,0.1614,both,2.0000000000020002e-05
102.0,105.0,Milvus milvus,0.187475,0.1875,both,2.4999999999997247e-05
103.0,106.0,Brachyramphus marmoratus,0.153057,0.1531,both,4.300000000001525e-05
108.0,111.0,Brachyramphus marmoratus,0.151211,0.1512,both,1.1000000000011001e-05
112.0,115.0,Palmeria dolei,0.182511,0.1825,both,1.1000000000011001e-05
112.0,115.0,Pseudonestor xanthophrys,0.160889,0.1609,both,1.0999999999983245e-05
121.0,124.0,Palmeria dolei,0.147672,0.1477,both,2.8000000000000247e-05
143.0,146.0,Palmeria dolei,0.221209,0.2212,both,8.999999999981245e-06
144.0,147.0,Palmeria dolei,0.126294,0.1263,both,6.0000000000060005e-06
148.0,151.0,Brachyramphus marmoratus,0.167674,0.1677,both,2.5999999999998247e-05
151.0,154.0,Brachyramphus marmoratus,0.808931,0.8089,both,3.100000000000325e-05
164.0,167.0,Certhia brachydactyla,0.108911,0.1089,both,1.0999999999997123e-05
165.0,168.0,Certhia brachydactyla,0.119771,0.1198,both,2.9000000000001247e-05
177.0,180.0,Palmeria dolei,0.112591,0.1126,both,9.000000000009e-06
181.0,184.0,Pseudonestor xanthophrys,0.208928,0.2089,both,2.8000000000000247e-05
184.0,187.0,Palmeria dolei,0.103827,0.1038,both,2.6999999999999247e-05
188.0,191.0,Palmeria dolei,0.10331,0.1033,both,9.999999999996123e-06
189.0,192.0,Palmeria dolei,0.147778,0.1478,both,2.1999999999994246e-05
190.0,193.0,Palmeria dolei,0.320964,0.321,both,3.599999999998049e-05
195.0,198.0,Palmeria dolei,0.126756,0.1268,both,4.399999999998849e-05
197.0,200.0,Palmeria dolei,0.136117,0.1361,both,1.6999999999989246e-05
197.0,200.0,Pseudonestor xanthophrys,0.199162,0.1992,both,3.799999999998249e-05
198.0,201.0,Pseudonestor xanthophrys,0.129517,0.1295,both,1.6999999999989246e-05
199.0,202.0,Pseudonestor xanthophrys,0.115962,0.116,both,3.800000000001025e-05
215.0,218.0,Myadestes occidentalis,0.456284,0.4563,both,1.599999999996049e-05
223.0,226.0,Turdus cardis,0.106648,0.1066,both,4.800000000000637e-05
227.0,230.0,Buteo lineatus,0.222567,0.2226,both,3.300000000000525e-05
227.0,230.0,Pernis ptilorhynchus,0.116326,0.1163,both,2.5999999999998247e-05
