size_bytes,filename,filepath,is_empty,wav_readable,scan_status,recorder_id,start_dt,date,month,birdnet_week48,session,file_id,min_to_sunrise,min_to_sunset,solar_slot,duration_s,samplerate,channels,format,subtype,end_dt,birdnet_status,perch_status,updated_at,last_error
1382400865,2453AC0263FBD00C_20250406_181000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250406_181000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-06 18:10:00,2025-04-06,4.0,13.0,evening,2453AC0263FBD00C_20250406_181000,,-124.3,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-06 20:10:00.000000,pending,pending,2026-01-05 13:58:57.620935,
1381440865,2453AC0263FBD00C_20250406_201005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250406_201005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-06 20:10:05,2025-04-06,4.0,13.0,evening,2453AC0263FBD00C_20250406_201005,,-4.2,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-06 22:10:00.000000,pending,pending,2026-01-05 13:58:57.633053,
1382208865,2453AC0263FBD00C_20250407_060001.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250407_060001.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-07 06:00:01,2025-04-07,4.0,13.0,morning,2453AC0263FBD00C_20250407_060001,-54.9,,sunrise_-60,7199.0,96000.0,1.0,WAV,PCM_16,2025-04-07 08:00:00.000000,pending,pending,2026-01-05 13:58:57.658120,
690240864,2453AC0263FBD00C_20250407_080005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250407_080005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-07 08:00:05,2025-04-07,4.0,13.0,morning,2453AC0263FBD00C_20250407_080005,65.1,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-07 09:00:00.000000,pending,pending,2026-01-05 13:58:57.671231,
1382400865,2453AC0263FBD00C_20250407_181500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250407_181500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-07 18:15:00,2025-04-07,4.0,13.0,evening,2453AC0263FBD00C_20250407_181500,,-121.0,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-07 20:15:00.000000,pending,pending,2026-01-05 13:58:57.692080,
1381440865,2453AC0263FBD00C_20250407_201505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250407_201505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-07 20:15:05,2025-04-07,4.0,13.0,evening,2453AC0263FBD00C_20250407_201505,,-0.9,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-07 22:15:00.000000,pending,pending,2026-01-05 13:58:57.708613,
1382400864,2453AC0263FBD00C_20250408_055500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250408_055500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-08 05:55:00,2025-04-08,4.0,14.0,morning,2453AC0263FBD00C_20250408_055500,-57.8,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-08 07:55:00.000000,pending,pending,2026-01-05 13:58:57.724287,
690240864,2453AC0263FBD00C_20250408_075505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250408_075505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-08 07:55:05,2025-04-08,4.0,14.0,morning,2453AC0263FBD00C_20250408_075505,62.3,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-08 08:55:00.000000,pending,pending,2026-01-05 13:58:57.733613,
1382400865,2453AC0263FBD00C_20250408_181500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250408_181500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-08 18:15:00,2025-04-08,4.0,14.0,evening,2453AC0263FBD00C_20250408_181500,,-122.6,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-08 20:15:00.000000,pending,pending,2026-01-05 13:58:57.759903,
1381440865,2453AC0263FBD00C_20250408_201505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250408_201505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-08 20:15:05,2025-04-08,4.0,14.0,evening,2453AC0263FBD00C_20250408_201505,,-2.5,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-08 22:15:00.000000,pending,pending,2026-01-05 13:58:57.770942,
