input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:01.00","00:00:04.00","Turdus philomelos_Song Thrush",0.310460
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:01.00","00:00:04.00","Erithacus rubecula_European Robin",0.267905
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:01.00","00:00:04.00","Clanga clanga_Greater Spotted Eagle",0.203757
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:02.00","00:00:05.00","Erithacus rubecula_European Robin",0.130551
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:02.00","00:00:05.00","Scolopax rusticola_Eurasian Woodcock",0.106981
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:03.00","00:00:06.00","Erithacus rubecula_European Robin",0.195284
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:04.00","00:00:07.00","Turdus philomelos_Song Thrush",0.111979
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:05.00","00:00:08.00","Turdus philomelos_Song Thrush",0.225664
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:06.00","00:00:09.00","Phylloscopus sibilatrix_Wood Warbler",0.111243
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:11.00","00:00:14.00","Picus viridis_Eurasian Green Woodpecker",0.114130
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:14.00","00:00:17.00","Sylvia atricapilla_Eurasian Blackcap",0.130276
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250409_055500.WAV","00:00:14.00","00:00:17.00","Turdus philomelos_Song Thrush",0.105374
