input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:15.00","00:00:18.00","Caprimulgus europaeus_Eurasian Nightjar",0.145721
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:16.00","00:00:19.00","Caprimulgus europaeus_Eurasian Nightjar",0.115400
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:20.00","00:00:23.00","Caprimulgus europaeus_Eurasian Nightjar",0.116645
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:21.00","00:00:24.00","Caprimulgus europaeus_Eurasian Nightjar",0.105930
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:24.00","00:00:27.00","Caprimulgus europaeus_Eurasian Nightjar",0.123647
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:25.00","00:00:28.00","Caprimulgus europaeus_Eurasian Nightjar",0.115090
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:26.00","00:00:29.00","Caprimulgus europaeus_Eurasian Nightjar",0.106245
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:38.00","00:00:41.00","Caprimulgus europaeus_Eurasian Nightjar",0.127680
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:00:42.00","00:00:45.00","Caprimulgus europaeus_Eurasian Nightjar",0.104030
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:02:56.00","00:02:59.00","Gallicrex cinerea_Watercock",0.126478
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:03:02.00","00:03:05.00","Centrocercus urophasianus_Greater Sage-Grouse",0.282372
