input,start_time,end_time,species_name,confidence
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:03.00","00:00:06.00","Myadestes occidentalis_Brown-backed Solitaire",0.330011
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:04.00","00:00:07.00","Myadestes occidentalis_Brown-backed Solitaire",0.362924
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:08.00","00:00:11.00","Myadestes occidentalis_Brown-backed Solitaire",0.167974
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:26.00","00:00:29.00","Campylorhamphus falcularius_Black-billed Scythebill",0.226040
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:27.00","00:00:30.00","Campylorhamphus falcularius_Black-billed Scythebill",0.248417
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:28.00","00:00:31.00","Chamaea fasciata_Wrentit",0.131701
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:30.00","00:00:33.00","Palmeria dolei_Akohekohe",0.155937
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:31.00","00:00:34.00","Palmeria dolei_Akohekohe",0.271174
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:32.00","00:00:35.00","Palmeria dolei_Akohekohe",0.194155
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:37.00","00:00:40.00","Rhopornis ardesiacus_Slender Antbird",0.165964
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:00:38.00","00:00:41.00","Pseudonestor xanthophrys_Maui Parrotbill",0.484100
