Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Myadestes occidentalis,Brown-backed Solitaire,0.3300,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
4.0,7.0,Myadestes occidentalis,Brown-backed Solitaire,0.3629,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
8.0,11.0,Myadestes occidentalis,Brown-backed Solitaire,0.1680,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
26.0,29.0,Campylorhamphus falcularius,Black-billed Scythebill,0.2260,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
27.0,30.0,Campylorhamphus falcularius,Black-billed Scythebill,0.2484,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
28.0,31.0,Chamaea fasciata,Wrentit,0.1317,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
30.0,33.0,Palmeria dolei,Akohekohe,0.1559,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
31.0,34.0,Palmeria dolei,Akohekohe,0.2712,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
32.0,35.0,Palmeria dolei,Akohekohe,0.1942,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
37.0,40.0,Rhopornis ardesiacus,Slender Antbird,0.1660,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
38.0,41.0,Pseudonestor xanthophrys,Maui Parrotbill,0.4841,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
38.0,41.0,Palmeria dolei,Akohekohe,0.1767,C:\Users\mghan\AppData\Local\Temp\gradio\083bb3fd25845b4b8ce213042af14dd28f943891783f7927286fe0ce861e3412\2453AC0263FBD00C_20250610_042001_first30min.wav
